FUN_140001000                            @ 140001000 size=8
FUN_140005b50                            @ 140005b50 size=364
FUN_140005cc0                            @ 140005cc0 size=1630
FUN_140006320                            @ 140006320 size=662
FUN_1400065b8                            @ 1400065b8 size=226
FUN_14000669c                            @ 14000669c size=218
FUN_140006778                            @ 140006778 size=308
FUN_1400068ac                            @ 1400068ac size=558
FUN_140006adc                            @ 140006adc size=801
FUN_140006e00                            @ 140006e00 size=29
FUN_140006e20                            @ 140006e20 size=11
FUN_140006e30                            @ 140006e30 size=45
FUN_140006e60                            @ 140006e60 size=8
NonDelegatingQueryInterface              @ 140006e70 size=80
NonDelegatingRelease                     @ 140006ed0 size=46
__security_check_cookie                  @ 140006f10 size=30
FUN_140006f30                            @ 140006f30 size=8
_guard_check_icall                       @ 140006f40 size=3
__GSHandlerCheck                         @ 140006f50 size=29
__GSHandlerCheckCommon                   @ 140006f70 size=95
swprintf                                 @ 140006fd0 size=6
FUN_140006fe0                            @ 140006fe0 size=155
FUN_140007080                            @ 140007080 size=88
FxStubDriverUnloadCommon                 @ 1400070dc size=47
entry                                    @ 140007110 size=43
FUN_14000713c                            @ 14000713c size=344
FUN_1400072a0                            @ 1400072a0 size=14
FxStubDriverUnload                       @ 1400072b0 size=44
FUN_1400072e0                            @ 1400072e0 size=193
FUN_1400073a4                            @ 1400073a4 size=382
FUN_140007524                            @ 140007524 size=18
FUN_140007538                            @ 140007538 size=209
WdfVersionBind                           @ 14000760a size=6
WdfLdrQueryInterface                     @ 140007610 size=6
WdfVersionUnbind                         @ 140007616 size=6
WdfVersionBindClass                      @ 140007620 size=6
WdfVersionUnbindClass                    @ 140007630 size=6
_guard_dispatch_icall                    @ 140007650 size=2
_guard_dispatch_icall                    @ 140007670 size=6
FUN_140007680                            @ 140007680 size=537
FUN_140007940                            @ 140007940 size=236
FUN_140007a80                            @ 140007a80 size=67
FUN_140007b00                            @ 140007b00 size=38
FUN_140015000                            @ 140015000 size=65
FUN_140015044                            @ 140015044 size=111
FUN_1400150b4                            @ 1400150b4 size=111
FUN_140015124                            @ 140015124 size=66
FUN_140015168                            @ 140015168 size=636
FUN_1400153f0                            @ 1400153f0 size=63
FUN_140015430                            @ 140015430 size=81
FUN_140015490                            @ 140015490 size=129
FUN_140015520                            @ 140015520 size=264
FUN_140015630                            @ 140015630 size=60
FUN_14001566c                            @ 14001566c size=291
FUN_140015790                            @ 140015790 size=370
thunk_FUN_1400160cc                      @ 140015910 size=5
FUN_140015920                            @ 140015920 size=194
FUN_1400159e4                            @ 1400159e4 size=765
FUN_140015ce4                            @ 140015ce4 size=557
FUN_140015f14                            @ 140015f14 size=195
FUN_140015fe0                            @ 140015fe0 size=233
FUN_1400160cc                            @ 1400160cc size=242
FUN_1400161c0                            @ 1400161c0 size=192
FUN_140016280                            @ 140016280 size=5
FUN_140016290                            @ 140016290 size=201
FUN_140016360                            @ 140016360 size=5
FUN_140016370                            @ 140016370 size=5
FUN_140016380                            @ 140016380 size=1181
FUN_140016820                            @ 140016820 size=1026
FUN_140016c30                            @ 140016c30 size=480
FUN_140016e10                            @ 140016e10 size=933
FUN_1400171c0                            @ 1400171c0 size=23
FUN_1400171d8                            @ 1400171d8 size=183
FUN_140017290                            @ 140017290 size=135
FUN_140017320                            @ 140017320 size=158
FUN_1400173c0                            @ 1400173c0 size=301
FUN_1400174f0                            @ 1400174f0 size=173
FUN_1400175a0                            @ 1400175a0 size=74
FUN_1400175f0                            @ 1400175f0 size=255
FUN_1400176f0                            @ 1400176f0 size=74
FUN_14001773c                            @ 14001773c size=121
FUN_1400177c0                            @ 1400177c0 size=132
FUN_140017844                            @ 140017844 size=104
FUN_1400178ac                            @ 1400178ac size=88
FUN_140017904                            @ 140017904 size=107
FUN_140017970                            @ 140017970 size=110
FUN_1400179e0                            @ 1400179e0 size=176
FUN_140017a90                            @ 140017a90 size=186
FUN_140017b4c                            @ 140017b4c size=183
FUN_140017c04                            @ 140017c04 size=92
FUN_140017c60                            @ 140017c60 size=316
FUN_140017d9c                            @ 140017d9c size=208
FUN_140017e6c                            @ 140017e6c size=470
FUN_140018044                            @ 140018044 size=99
FUN_1400180b0                            @ 1400180b0 size=24
FUN_1400180d0                            @ 1400180d0 size=49
FUN_140018104                            @ 140018104 size=79
FUN_140018160                            @ 140018160 size=99
FUN_1400181d0                            @ 1400181d0 size=58
FUN_140018210                            @ 140018210 size=36
FUN_140018240                            @ 140018240 size=40
FUN_140018270                            @ 140018270 size=36
FUN_1400182a0                            @ 1400182a0 size=92
FUN_140018300                            @ 140018300 size=91
FUN_140018360                            @ 140018360 size=9
FUN_140018370                            @ 140018370 size=92
FUN_1400183cc                            @ 1400183cc size=64
FUN_14001840c                            @ 14001840c size=67
FUN_140018450                            @ 140018450 size=108
FUN_1400184bc                            @ 1400184bc size=64
FUN_1400184fc                            @ 1400184fc size=62
FUN_14001853c                            @ 14001853c size=131
FUN_1400185c0                            @ 1400185c0 size=40
FUN_1400185f0                            @ 1400185f0 size=83
FUN_140018650                            @ 140018650 size=92
FUN_1400186b0                            @ 1400186b0 size=7
FUN_1400186b8                            @ 1400186b8 size=17
FUN_1400186cc                            @ 1400186cc size=118
FUN_140018750                            @ 140018750 size=11
FUN_14001875c                            @ 14001875c size=68
FUN_1400187a0                            @ 1400187a0 size=71
FUN_1400187f0                            @ 1400187f0 size=68
FUN_140018840                            @ 140018840 size=59
FUN_140018880                            @ 140018880 size=18
FUN_1400188a0                            @ 1400188a0 size=9
FUN_1400188b0                            @ 1400188b0 size=18
FUN_1400188d0                            @ 1400188d0 size=15
FUN_1400188e0                            @ 1400188e0 size=9
FUN_1400188ec                            @ 1400188ec size=68
FUN_140018930                            @ 140018930 size=9
FUN_140018940                            @ 140018940 size=84
FUN_1400189a0                            @ 1400189a0 size=159
FUN_140018a40                            @ 140018a40 size=9
FUN_140018a50                            @ 140018a50 size=9
FUN_140018a60                            @ 140018a60 size=15
FUN_140018a70                            @ 140018a70 size=25
FUN_140018a8c                            @ 140018a8c size=52
FUN_140018ac0                            @ 140018ac0 size=69
FUN_140018b10                            @ 140018b10 size=156
FUN_140018bb0                            @ 140018bb0 size=6
FUN_140018bc0                            @ 140018bc0 size=10
FUN_140018bd0                            @ 140018bd0 size=14
FUN_140018be0                            @ 140018be0 size=195
FUN_140018cb0                            @ 140018cb0 size=119
FUN_140018d28                            @ 140018d28 size=568
FUN_140018f60                            @ 140018f60 size=161
FUN_140019004                            @ 140019004 size=141
FUN_140019094                            @ 140019094 size=329
FUN_1400191e0                            @ 1400191e0 size=342
FUN_140019340                            @ 140019340 size=118
FUN_1400193c0                            @ 1400193c0 size=90
FUN_14001941c                            @ 14001941c size=131
FUN_1400194a0                            @ 1400194a0 size=13
FUN_1400194b0                            @ 1400194b0 size=52
FUN_1400194f0                            @ 1400194f0 size=145
FUN_140019590                            @ 140019590 size=846
FUN_1400198e0                            @ 1400198e0 size=129
FUN_140019970                            @ 140019970 size=426
FUN_140019b20                            @ 140019b20 size=157
FUN_140019bc0                            @ 140019bc0 size=282
FUN_140019cdc                            @ 140019cdc size=427
FUN_140019e88                            @ 140019e88 size=272
FUN_140019fa0                            @ 140019fa0 size=368
FUN_14001a110                            @ 14001a110 size=300
FUN_14001a23c                            @ 14001a23c size=270
FUN_14001a34c                            @ 14001a34c size=390
FUN_14001a4d4                            @ 14001a4d4 size=102
FUN_14001a53c                            @ 14001a53c size=381
FUN_14001a6c0                            @ 14001a6c0 size=423
FUN_14001a870                            @ 14001a870 size=468
FUN_14001aa50                            @ 14001aa50 size=171
FUN_14001ab00                            @ 14001ab00 size=160
FUN_14001aba0                            @ 14001aba0 size=9
FUN_14001abac                            @ 14001abac size=778
FUN_14001aec0                            @ 14001aec0 size=345
FUN_14001b020                            @ 14001b020 size=137
FUN_14001b0b0                            @ 14001b0b0 size=54
FUN_14001b0f0                            @ 14001b0f0 size=119
FUN_14001b170                            @ 14001b170 size=87
FUN_14001b1c8                            @ 14001b1c8 size=186
FUN_14001c000                            @ 14001c000 size=274
FUN_14001c114                            @ 14001c114 size=46
